"Time","Temp","WindDir","WindSpeed"
"Sun Feb 12 07:00:00 CET 2012","-8.0","WNW","1.0"
"Sun Feb 12 10:00:00 CET 2012","-5.0","SW","2.0"
"Sun Feb 12 13:00:00 CET 2012","-3.0","SW","2.0"
"Sun Feb 12 16:00:00 CET 2012","-1.0","SW","3.0"
"Sun Feb 12 19:00:00 CET 2012","-1.0","SW","3.0"
"Sun Feb 12 22:00:00 CET 2012","-1.0","WSW","2.0"
"Mon Feb 13 01:00:00 CET 2012","0.0","WSW","2.0"
"Mon Feb 13 04:00:00 CET 2012","-0.0","SW","2.0"
"Mon Feb 13 07:00:00 CET 2012","1.0","WSW","2.0"
"Mon Feb 13 10:00:00 CET 2012","3.0","WNW","2.0"
"Mon Feb 13 19:00:00 CET 2012","3.0","WNW","3.0"
"Mon Feb 13 22:00:00 CET 2012","4.0","WNW","3.0"
"Tue Feb 14 01:00:00 CET 2012","4.0","North","4.0"
"Tue Feb 14 04:00:00 CET 2012","4.0","NNW","4.0"
"Tue Feb 14 07:00:00 CET 2012","4.0","North","3.0"
"Tue Feb 14 10:00:00 CET 2012","5.0","NNW","4.0"
"Tue Feb 14 19:00:00 CET 2012","4.0","West","4.0"
"Wed Feb 15 01:00:00 CET 2012","5.0","WNW","6.0"
"Wed Feb 15 04:00:00 CET 2012","6.0","NW","7.0"
"Wed Feb 15 07:00:00 CET 2012","6.0","NW","9.0"
"Wed Feb 15 13:00:00 CET 2012","7.0","NW","9.0"
"Wed Feb 15 16:00:00 CET 2012","6.0","NW","10.0"
"Wed Feb 15 19:00:00 CET 2012","6.0","NNW","8.0"
"Wed Feb 15 22:00:00 CET 2012","6.0","NNW","7.0"
"Thu Feb 16 01:00:00 CET 2012","6.0","NNW","5.0"
"Thu Feb 16 04:00:00 CET 2012","6.0","NNW","4.0"
"Thu Feb 16 07:00:00 CET 2012","5.0","NW","3.0"
"Thu Feb 16 10:00:00 CET 2012","6.0","West","3.0"
"Thu Feb 16 13:00:00 CET 2012","8.0","West","3.0"
"Thu Feb 16 16:00:00 CET 2012","8.0","WNW","4.0"
"Thu Feb 16 19:00:00 CET 2012","6.0","SW","3.0"
"Thu Feb 16 22:00:00 CET 2012","5.0","SW","4.0"
"Fri Feb 17 01:00:00 CET 2012","5.0","SW","3.0"
"Fri Feb 17 04:00:00 CET 2012","5.0","WSW","4.0"
"Fri Feb 17 07:00:00 CET 2012","5.0","WSW","3.0"
"Fri Feb 17 10:00:00 CET 2012","5.0","WSW","3.0"
"Fri Feb 17 13:00:00 CET 2012","9.0","WSW","4.0"
"Fri Feb 17 16:00:00 CET 2012","10.0","WNW","5.0"
"Fri Feb 17 19:00:00 CET 2012","8.0","SW","2.0"
"Fri Feb 17 22:00:00 CET 2012","8.0","SSW","4.0"
"Sat Feb 18 01:00:00 CET 2012","8.0","SW","4.0"
"Sat Feb 18 04:00:00 CET 2012","7.0","SSW","4.0"
"Sat Feb 18 07:00:00 CET 2012","8.0","WSW","7.0"
"Sat Feb 18 10:00:00 CET 2012","8.0","SW","5.0"
"Sat Feb 18 13:00:00 CET 2012","9.0","SW","6.0"
"Sat Feb 18 16:00:00 CET 2012","9.0","SW","7.0"
"Sat Feb 18 19:00:00 CET 2012","8.0","SW","7.0"
"Sat Feb 18 22:00:00 CET 2012","5.0","NW","7.0"
"Sun Feb 19 04:00:00 CET 2012","3.0","WNW","4.0"
"Sun Feb 19 07:00:00 CET 2012","3.0","West","4.0"
"Sun Feb 19 10:00:00 CET 2012","4.0","WNW","5.0"
